BJD - 2454833, Corrected Flux
2316.601861111, 0.998430705,
2316.622292923, 0.998381003,
2316.642724934, 0.998419482,
2316.663156845, 0.998419213,
2316.683588655, 0.998417440,
2316.704020666, 0.998411013,
2316.724452575, 0.998401747,
2316.744884385, 0.998448392,
2316.765316394, 0.998425249,
2316.785748303, 0.998411792,
2316.806180312, 0.998393561,
2316.826612120, 0.998404523,
2316.867476035, 0.998389585,
2316.949203562, 0.998469805,
2316.969635468, 0.998392991,
2316.990067474, 0.998436827,
2317.010499279, 0.998414034,
2317.030931184, 0.998435964,
2317.051363088, 0.998422879,
2317.071794992, 0.998396037,
2317.092226896, 0.998434253,
2317.112658900, 0.998478976,
2317.133090703, 0.998453251,
2317.153522606, 0.998434015,
2317.173954608, 0.998483250,
2317.194386411, 0.998405736,
2317.214818413, 0.998399559,
2317.235250314, 0.998500235,
2317.255682115, 0.998488860,
2317.276114116, 0.998442840,
2317.296546017, 0.998432165,
2317.316977817, 0.998350867,
2317.357841716, 0.998492111,
2317.378273616, 0.998494170,
2317.398705514, 0.998472038,
2317.419137413, 0.998514790,
2317.439569311, 0.998469782,
2317.460001209, 0.998537652,
2317.480433107, 0.998526040,
2317.500865004, 0.998482216,
2317.521296901, 0.998500176,
2317.541728798, 0.998510750,
2317.562160694, 0.998469033,
2317.582592690, 0.998539925,
2317.603024485, 0.998543335,
2317.623456381, 0.998518743,
2317.643888376, 0.998561068,
2317.664320170, 0.998457018,
2317.684752165, 0.998442796,
2317.705184059, 0.998408295,
2317.725615852, 0.998427093,
2317.746047846, 0.998434472,
2317.766479639, 0.998400849,
2317.786911531, 0.998387255,
2317.807343524, 0.998415726,
2317.848207207, 0.998509604,
2317.868639199, 0.998539960,
2317.889070990, 0.998540839,
2317.909502881, 0.998522626,
2317.929934871, 0.998510052,
2317.950366761, 0.998570328,
2317.970798551, 0.998500442,
2317.991230540, 0.998495801,
2318.011662429, 0.998485986,
2318.032094218, 0.998530500,
2318.052526207, 0.998450773,
2318.093389883, 0.998613180,
2318.113821870, 0.998547645,
2318.134253757, 0.998591172,
2318.154685744, 0.998596185,
2318.175117531, 0.998657037,
2318.195549417, 0.998567691,
2318.215981403, 0.998590164,
2318.236413188, 0.998607863,
2318.256845073, 0.998610109,
2318.277277058, 0.998576026,
2318.297708843, 0.998651368,
2318.359004495, 0.998603855,
2318.379436378, 0.998571183,
